time,open,high,low,close,First 1m Range,First 1m Volume,Volume
1690261200,35404,35434,35382,35409,,,10448
1690275600,35409,35447,35381,35413,,,8300
1690290000,35414,35504,35363,35503,,,41435
1690304400,35505,35529,35396,35408,,,23160
1690318800,35425,35429,35391,35397,,,1715
1690333200,35397,35428,35392,35409,,,3291
1690347600,35408,35441,35376,35378,,,10493
1690362000,35377,35435,35337,35342,,,12408
1690376400,35342,35506,35310,35447,,,46184
1690390800,35449,35643,35389,35474,,,37365
1690405200,35485,35507,35447,35506,,,1563
1690419600,35507,35560,35500,35552,,,2304
1690434000,35551,35599,35514,35583,,,6333
1690448400,35584,35690,35544,35623,,,8305
1690462800,35624,35642,35503,35636,,,33290
1690477200,35637,35649,35213,35308,,,42314
1690491600,35311,35320,35282,35308,,,3520
1690506000,35308,35407,35242,35337,,,8054
1690520400,35338,35435,35313,35345,,,8550
1690534800,35346,35471,35334,35470,,,7433
1690549200,35469,35569,35392,35498,,,32546
1690563600,35499,35499,35348,35437,,,26825
1690754400,35467,35506,35424,35427,,,2938
1690768800,35426,35444,35383,35422,,,3349
1690783200,35423,35497,35414,35486,,,4617
1690797600,35485,35543,35433,35476,,,8492
1690812000,35477,35539,35429,35487,,,18253
1690826400,35488,35578,35431,35572,,,11231
1690837200,35582,35583,35552,35576,,,1435
1690851600,35576,35593,35561,35567,,,3156
1690866000,35566,35572,35447,35475,,,5594
1690880400,35474,35538,35442,35462,,,7579
1690894800,35463,35678,35447,35578,,,24887
1690909200,35579,35662,35562,35617,,,14541
1690923600,35483,35590,35483,35582,,,3604
1690938000,35583,35609,35511,35516,,,5258
1690952400,35517,35549,35348,35408,,,10877
1690966800,35407,35565,35381,35462,,,10725
1690981200,35463,35530,35325,35356,,,34080
1690995600,35357,35399,35224,35288,,,13760
1691010000,35297,35360,35297,35335,,,1801
1691024400,35334,35383,35315,35325,,,2939
1691038800,35324,35346,35130,35169,,,8791
1691053200,35168,35264,35168,35222,,,7728
1691067600,35221,35337,35118,35321,,,27844
1691082000,35323,35351,35191,35223,,,19727
1691096400,35221,35287,35204,35285,,,2135
1691110800,35286,35307,35253,35277,,,3015
1691125200,35276,35331,35228,35277,,,5593
1691139600,35278,35305,35146,35264,,,8358
1691154000,35263,35510,35241,35506,,,24899
1691168400,35507,35512,35030,35055,,,20470
1691359200,35103,35166,35100,35163,,,4572
1691373600,35162,35185,35144,35170,,,3999
1691388000,35169,35226,35121,35159,,,9117
1691402400,35158,35364,35094,35323,,,13759
1691416800,35326,35477,35287,35477,,,24970
1691431200,35476,35498,35415,35476,,,8641
1691442000,35479,35489,35468,35478,,,1108
1691456400,35477,35478,35405,35422,,,2812
1691470800,35423,35429,35357,35392,,,5300
1691485200,35393,35397,35190,35228,,,7934
1691499600,35227,35272,35005,35180,,,26201
1691514000,35181,35347,35177,35291,,,19219
1691528400,35290,35313,35275,35295,,,2062
1691542800,35296,35320,35292,35306,,,3527
1691557200,35307,35398,35301,35391,,,7738
