time,open,high,low,close,VIDYA 55,VIDYA 233,Lower BB,Upper BB,Midline BB,Lower BB2,Upper BB2,Lower BB3,Upper BB3,Trend Line,Short Kalman,Long Kalman,Title (Open),Title (High,Title (Low),Title (Close),PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),ParabolicSAR,Previous Value,MOM-LRC Upper,MOM-LRC Lower,Upper Band (1.5 Dev),Lower Band (1.5 Dev)
28/03/2025,42281.5,42354.5,41401.5,41401.5,42910.42602,41745.79778,39901.32304,43681.50792,41791.41548,39271.29223,44311.53874,38641.26141,44941.56955,34225.51015,41913.23957,42049.11154,42281.5,42354.5,41401.5,41401.5,42281.5,42354.5,41401.5,41401.5,42819.5,51.30431924,72.75174432,29.85689417,67.38988805,35.21875044
31/03/2025,41322.5,42137.5,41143.5,41934.5,42875.57152,41747.41061,39847.04106,43657.81734,41752.4292,39211.91168,44292.94673,38576.7823,44928.07611,34240.71863,41923.09006,42024.41746,41322.5,42137.5,41143.5,41934.5,41322.5,42137.5,41143.5,41934.5,42791.14,51.21150954,72.72032207,29.702697,67.34311894,35.07990014
01/04/2025,41932.5,42138.5,41500.5,41957.5,42842.78325,41749.20625,39793.07461,43634.43592,41713.75526,39152.84772,44274.6628,38512.62083,44914.88969,34256.15341,41939.03304,42009.9995,41932.5,42138.5,41500.5,41957.5,41932.5,42138.5,41500.5,41957.5,42725.2344,51.11228813,72.72714012,29.49743615,67.32342712,34.90114914
02/04/2025,41950.5,42566.5,41607.5,41762.5,42804.2017,41749.31987,39739.43893,43611.35766,41675.39829,39094.11914,44256.67745,38448.79935,44901.99723,34271.78637,41857.24088,41956.67352,41950.5,42566.5,41607.5,41762.5,41950.5,42566.5,41607.5,41762.5,42661.96502,51.01499698,72.76426205,29.26573192,67.32694578,34.70304818
03/04/2025,41511.5,41543.5,40378.5,40400.5,42718.35521,41737.7915,39686.15938,43588.57131,41637.36534,39035.75739,44238.9733,38385.3554,44889.37529,34284.94908,41182.29647,41621.38205,41511.5,41543.5,40378.5,40400.5,41511.5,41543.5,40378.5,40400.5,42601.22642,50.92611063,72.83234516,29.01987609,67.35578653,34.49643473
04/04/2025,40406.5,40476.5,38035.5,38168.5,42555.86039,41707.28473,39634.20513,43566.94418,41600.57466,38978.74862,44222.40069,38323.29211,44877.8572,34294.27813,39785.92935,40877.42779,40406.5,40476.5,38035.5,38168.5,40406.5,40476.5,38035.5,38168.5,42566.5,50.81549548,72.89856138,28.73242957,67.3777949,34.25319605
07/04/2025,37411.5,39205.5,36480.5,38228.5,42401.3118,41677.55153,39585.11866,43547.71131,41566.41499,38924.68655,44208.14342,38264.25445,44868.57553,34301.7219,39064.33346,40306.69265,37411.5,39205.5,36480.5,38228.5,37411.5,39205.5,36480.5,38228.5,42204.02,50.67521415,72.95996999,28.39045831,67.38878103,33.96164727
08/04/2025,38278.5,39441.5,37090.5,37543.5,42227.81852,41642.21776,39539.99065,43531.54445,41535.76755,38874.73168,44196.80342,38209.47271,44862.06238,34309.25924,38359.69336,39711.33813,38278.5,39441.5,37090.5,37543.5,38278.5,39441.5,37090.5,37543.5,41631.668,50.50643708,73.01807461,27.99479955,67.39016523,33.62270893
09/04/2025,37546.5,40829.5,36679.5,40804.5,42176.98572,41635.05777,39499.03725,43518.29201,41508.66463,38829.16145,44188.1678,38159.28566,44858.0436,34319.64097,39492.43329,39946.86961,37546.5,40829.5,36679.5,40804.5,37546.5,40829.5,36679.5,40804.5,41116.5512,50.31408874,73.04174089,27.58643659,67.35982786,33.26834963
10/04/2025,40711.5,40909.5,38400.5,39559.5,42083.50408,41617.31796,39461.60043,43507.14403,41484.37223,38787.34316,44181.4013,38113.08589,44855.65857,34330.37685,39523.50697,39863.40737,40711.5,40909.5,38400.5,39559.5,40711.5,40909.5,38400.5,39559.5,36480.5,50.13460271,73.05586434,27.21334108,67.32554894,32.94365649
