Asset,Setup,Scenario,Candle Tested,Compared Against,Total Cases,Breaks Previous High Cases,Breaks Previous High %,Breaks Previous Low Cases,Breaks Previous Low %,Breaks Either Side Cases,Breaks Either Side %,Breaks Both Sides Cases,Breaks Both Sides %,High Break Fails Cases,High Break Fails %,Low Break Fails Cases,Low Break Fails %
US30,High sweep / Low sweep,No daily bias used. US30 15:00–19:00 4H candle is compared with the previous 11:00–15:00 4H candle.,15:00–19:00 Europe/London 4H candle,Immediately previous 4H candle,130,64,49.23076923076923,71,54.61538461538461,119,91.53846153846153,16,12.307692307692308,23,35.9375,43,60.56338028169014
US500,High sweep / Low sweep,No daily bias used. US500 14:00–18:00 4H candle is compared with the previous 10:00–14:00 4H candle.,14:00–18:00 Europe/London 4H candle,Immediately previous 4H candle,59,32,54.23728813559322,32,54.23728813559322,55,93.22033898305084,9,15.254237288135593,16,50.0,17,53.125
